group,table,column_original,column_norm
Agora,agora_l_svc_cr,APPLY_END_DATE,apply_end_date
Agora,agora_l_svc_cr,APPLY_ST_DATE,apply_st_date
Agora,agora_co_vehic,base_odometer,base_odometer
BP/KTWS,bpktws_co_vehic,base_odometer,base_odometer
Karete,karete_co_vehic,BASE_ODOMETER,base_odometer
Karete,karete_svc_propo,BASE_ODOMETER,base_odometer
Agora,agora_l_svc_cr,CAUSE,cause
Agora,agora_l_svc_cr,CAUSE_FRM_NO,cause_frm_no
Agora,agora_l_svc_cr,CAUSE_PART_COMP_NM,cause_part_comp_nm
Agora,agora_l_svc_cr,CAUSE_PART_NO,cause_part_no
Agora,agora_l_svc_cr,CONDITION,condition
Agora,agora_om_contract,contract_no,contract_no
BP/KTWS,bpktws_om_contract,contract_no,contract_no
Karete,karete_om_contract,CONTRACT_NUMBER,contract_number
Agora,agora_om_contract,contract_stat_cd,contract_stat_cd
BP/KTWS,bpktws_om_contract,contract_stat_cd,contract_stat_cd
Karete,karete_om_contract,CONTRACT_STAT_NAME,contract_stat_name
Agora,agora_svc_cr_vehic,cr_case_no,cr_case_no
Agora,agora_l_svc_cr,CR_NM,cr_nm
Agora,agora_l_svc_cr,CR_NO,cr_no
Agora,agora_svc_cr_vehic,cr_no,cr_no
Agora,agora_l_svc_cr,CR_SHORT_NM,cr_short_nm
Agora,agora_l_svc_cr,CR_TYPE,cr_type
Karete,karete_om_contract,DELIVERY_ACTUAL_DATE,delivery_actual_date
Agora,agora_om_contract,delivery_actual_dt,delivery_actual_dt
BP/KTWS,bpktws_om_contract,delivery_actual_dt,delivery_actual_dt
Karete,karete_co_vehic,DELIVERY_DATE,delivery_date
Agora,agora_co_vehic,delivery_dt,delivery_dt
BP/KTWS,bpktws_co_vehic,delivery_dt,delivery_dt
Karete,karete_svc_propo,END_GB,end_gb
Agora,agora_l_svc_cr,END_TYPE_CD,end_type_cd
Agora,agora_l_svc_cr,ETL_DT,etl_dt
Agora,agora_svc_cr_vehic,exec_date,exec_date
Agora,agora_svc_cr_vehic,exec_yn,exec_yn
Agora,agora_co_vehic,first_owner_yn,first_owner_yn
BP/KTWS,bpktws_co_vehic,first_owner_yn,first_owner_yn
Karete,karete_co_vehic,FIRST_OWNER_YN,first_owner_yn
Karete,karete_fct_svc_repair,FMS_AMOUNT,fms_amount
Agora,agora_svc_propo_part,fms_item_cd,fms_item_cd
Agora,agora_l_svc_cr,GOAL_CNT,goal_cnt
Karete,karete_fct_svc_repair,IS_FMS_INCLUDE,is_fms_include
Karete,karete_fct_svc_repair,IS_WARRANTY_INCLUDE,is_warranty_include
Karete,karete_om_contract,LAST_RETAIL_SALES_DATE,last_retail_sales_date
Agora,agora_om_contract,last_retail_sales_dt,last_retail_sales_dt
BP/KTWS,bpktws_om_contract,last_retail_sales_dt,last_retail_sales_dt
Agora,agora_co_vehic,model_cd,model_cd
Agora,agora_om_contract,model_cd,model_cd
BP/KTWS,bpktws_co_vehic,model_cd,model_cd
BP/KTWS,bpktws_om_contract,model_cd,model_cd
Karete,karete_om_contract,MODEL_CODE,model_code
Karete,karete_om_contract,MODEL_NAME,model_name
Agora,agora_co_vehic,model_year,model_year
BP/KTWS,bpktws_co_vehic,model_year,model_year
Karete,karete_om_contract,MODEL_YEAR,model_year
Agora,agora_om_contract,my_cd,my_cd
BP/KTWS,bpktws_om_contract,my_cd,my_cd
Agora,agora_l_svc_cr,NOTICE_MEMO,notice_memo
Agora,agora_svc_cr_vehic,odo,odo
Agora,agora_co_vehic,odometer,odometer
Agora,agora_svc_propo,odometer,odometer
BP/KTWS,bpktws_co_vehic,odometer,odometer
BP/KTWS,bpktws_svc_propo,ODOMETER,odometer
Karete,karete_co_vehic,ODOMETER,odometer
Karete,karete_svc_propo,ODOMETER,odometer
Agora,agora_svc_propo_part,part_no,part_no
Agora,agora_svc_propo,prev_odometer,prev_odometer
BP/KTWS,bpktws_svc_propo,PREV_ODOMETER,prev_odometer
Karete,karete_svc_propo,PREVIOUS_ODOMETER,previous_odometer
Karete,karete_svc_propo,PROPO_DATE,propo_date
Agora,agora_svc_cr_vehic,propo_dt,propo_dt
Agora,agora_svc_propo,propo_dt,propo_dt
Agora,agora_svc_propo_part,propo_dt,propo_dt
BP/KTWS,bpktws_svc_propo,PROPO_DT,propo_dt
Agora,agora_svc_cr_vehic,propo_seq,propo_seq
Agora,agora_svc_propo,propo_seq,propo_seq
Agora,agora_svc_propo_part,propo_seq,propo_seq
BP/KTWS,bpktws_svc_propo,PROPO_SEQ,propo_seq
Karete,karete_svc_propo,PROPO_SEQ,propo_seq
Agora,agora_svc_cr_vehic,propo_shop_cd,propo_shop_cd
Karete,karete_svc_propo,PROPO_STAT_NAME,propo_stat_name
Agora,agora_l_svc_cr,PRV_APPLY_END_DATE,prv_apply_end_date
Agora,agora_l_svc_cr,PRV_APPLY_ST_DATE,prv_apply_st_date
Agora,agora_l_svc_cr,RCPT_CNT,rcpt_cnt
Agora,agora_l_svc_cr,REG_DT,reg_dt
Agora,agora_l_svc_cr,REG_USER_ID,reg_user_id
Agora,agora_l_svc_cr,REMARK,remark
Agora,agora_l_svc_cr,REMEDY,remedy
Agora,agora_svc_cr_vehic,repair_dt,repair_dt
Karete,karete_fct_svc_repair,RO_CLOSE_DATE,ro_close_date
Karete,karete_fct_svc_repair,RO_DATE,ro_date
Karete,karete_fct_svc_repair,RO_ODOMETER,ro_odometer
Karete,karete_fct_svc_repair,RO_SEQUENCE,ro_sequence
Karete,karete_fct_svc_repair,RO_STATUS,ro_status
Agora,agora_svc_propo_part,ro_type_cd,ro_type_cd
Agora,agora_co_vehic,sales_type,sales_type
Agora,agora_om_contract,sales_type,sales_type
BP/KTWS,bpktws_co_vehic,sales_type,sales_type
BP/KTWS,bpktws_om_contract,sales_type,sales_type
Karete,karete_co_vehic,SALES_TYPE,sales_type
Karete,karete_om_contract,SALES_TYPE_NAME,sales_type_name
Agora,agora_svc_propo_part,seq,seq
Karete,karete_co_vehic,SERVICE_MODEL_CODE,service_model_code
Karete,karete_svc_propo,SERVICE_MODEL_CODE,service_model_code
Karete,karete_svc_propo,SERVICE_TYPE,service_type
Karete,karete_svc_propo,SERVICE_TYPE_FMS,service_type_fms
Agora,agora_svc_propo_part,settle_type_cd,settle_type_cd
Agora,agora_svc_propo,shop_cd,shop_cd
Agora,agora_svc_propo_part,shop_cd,shop_cd
BP/KTWS,bpktws_svc_propo,SHOP_CD,shop_cd
Karete,karete_fct_svc_repair,SHOP_CODE,shop_code
Karete,karete_svc_propo,SHOP_CODE,shop_code
Karete,karete_fct_svc_repair,SHOP_NAME,shop_name
Karete,karete_svc_propo,SHOP_NAME,shop_name
Karete,karete_co_vehic,SOURCE_SYSTEM,source_system
Karete,karete_fct_svc_repair,SOURCE_SYSTEM,source_system
Karete,karete_om_contract,SOURCE_SYSTEM,source_system
Karete,karete_svc_propo,SOURCE_SYSTEM,source_system
Agora,agora_l_svc_cr,STAT_CD,stat_cd
Agora,agora_svc_propo,stat_cd,stat_cd
BP/KTWS,bpktws_svc_propo,STAT_CD,stat_cd
Agora,agora_l_svc_cr,SUB_TYPE,sub_type
Agora,agora_l_svc_cr,SUBLET_EXPL,sublet_expl
Agora,agora_co_vehic,svc_model_cd,svc_model_cd
Agora,agora_svc_propo,svc_model_cd,svc_model_cd
BP/KTWS,bpktws_co_vehic,svc_model_cd,svc_model_cd
BP/KTWS,bpktws_svc_propo,SVC_MODEL_CD,svc_model_cd
Agora,agora_svc_propo,svc_type_cd,svc_type_cd
BP/KTWS,bpktws_svc_propo,SVC_TYPE_CD,svc_type_cd
Agora,agora_svc_propo,svc_type_fms_cd,svc_type_fms_cd
BP/KTWS,bpktws_svc_propo,SVC_TYPE_FMS_CD,svc_type_fms_cd
Agora,agora_l_svc_cr,T1_CD,t1_cd
Agora,agora_l_svc_cr,T2_CD,t2_cd
Agora,agora_l_svc_cr,T2_TYPE_CD,t2_type_cd
Agora,agora_l_svc_cr,TI_ISSU_DATE,ti_issu_date
Agora,agora_l_svc_cr,TI_NOTICE,ti_notice
Agora,agora_l_svc_cr,TI_REMEDY,ti_remedy
Agora,agora_l_svc_cr,TI_TITLE,ti_title
Agora,agora_l_svc_cr,TI_TRF_NO,ti_trf_no
Agora,agora_l_svc_cr,TMC_FILE_NM,tmc_file_nm
Agora,agora_l_svc_cr,TMC_FILE_PATH,tmc_file_path
Agora,agora_l_svc_cr,TMKR_EXEC_YN,tmkr_exec_yn
Agora,agora_l_svc_cr,TMKR_FILE_NM,tmkr_file_nm
Agora,agora_l_svc_cr,TMKR_FILE_PATH,tmkr_file_path
Agora,agora_l_svc_cr,UPD_DT,upd_dt
Agora,agora_l_svc_cr,UPD_USER_ID,upd_user_id
Agora,agora_l_svc_cr,USE_YN,use_yn
Agora,agora_co_vehic,variant_nm,variant_nm
BP/KTWS,bpktws_co_vehic,variant_nm,variant_nm
Agora,agora_svc_propo,vehic_base_odometer,vehic_base_odometer
BP/KTWS,bpktws_svc_propo,VEHIC_BASE_ODOMETER,vehic_base_odometer
Karete,karete_fct_svc_repair,VEHICLE_MODEL,vehicle_model
Karete,karete_co_vehic,VEHICLE_MODEL_CODE,vehicle_model_code
Karete,karete_co_vehic,VEHICLE_MODEL_YEAR,vehicle_model_year
Karete,karete_fct_svc_repair,VEHICLE_MODEL_YEAR,vehicle_model_year
Karete,karete_fct_svc_repair,VEHICLE_SERVICE_MODEL_CODE,vehicle_service_model_code
Karete,karete_co_vehic,VEHICLE_VARIANT_NAME,vehicle_variant_name
Agora,agora_co_vehic,vin,vin
Agora,agora_om_contract,vin,vin
Agora,agora_svc_cr_vehic,vin,vin
Agora,agora_svc_propo,vin,vin
BP/KTWS,bpktws_co_vehic,vin,vin
BP/KTWS,bpktws_om_contract,vin,vin
BP/KTWS,bpktws_svc_propo,VIN,vin
Karete,karete_co_vehic,VIN,vin
Karete,karete_fct_svc_repair,VIN,vin
Karete,karete_om_contract,VIN,vin
Karete,karete_svc_propo,VIN,vin
Karete,karete_fct_svc_repair,WARRANTY_AMOUNT,warranty_amount
Agora,agora_svc_propo,work_close_yn,work_close_yn
BP/KTWS,bpktws_svc_propo,WORK_CLOSE_YN,work_close_yn
