column_norm,groups,dtype_match,dtypes,col_type,avg_jaccard,verdict
prev_odometer,"Agora, BP/KTWS",✓,float64,수치형,97.4%,"✅ 같은 의미 (수치형, dtype 일치)"
vehic_base_odometer,"Agora, BP/KTWS",✓,int64,수치형,92.3%,"✅ 같은 의미 (수치형, dtype 일치)"
shop_cd,"Agora, BP/KTWS",✓,str,범주/문자형,90.5%,✅ 같은 의미
propo_dt,"Agora, BP/KTWS",✓,str,범주/문자형,88.4%,✅ 같은 의미
model_year,"Agora, BP/KTWS, Karete",✓,str,범주/문자형,80.4%,✅ 같은 의미
vin,"Agora, BP/KTWS, Karete",✓,str,범주/문자형,53.7%,✅ 같은 의미
sales_type,"Agora, BP/KTWS, Karete",✓,str,범주/문자형,51.9%,✅ 같은 의미
base_odometer,"Agora, BP/KTWS, Karete",✗,float64 / int64,수치형,33.3%,❌ 다른 의미 (dtype 불일치)
odometer,"Agora, BP/KTWS, Karete",✗,float64 / int64,수치형,33.2%,❌ 다른 의미 (dtype 불일치)
first_owner_yn,"Agora, BP/KTWS, Karete",✓,str,범주/문자형,100.0%,✅ 같은 의미
model_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
svc_model_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
stat_cd,"Agora, BP/KTWS",✗,object / str / str,범주/문자형,100.0%,❌ 다른 의미 (dtype 불일치)
contract_no,"Agora, BP/KTWS",✓,float64,수치형,100.0%,"✅ 같은 의미 (수치형, dtype 일치)"
contract_stat_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
delivery_actual_dt,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
delivery_dt,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
last_retail_sales_dt,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
my_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
svc_type_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
svc_type_fms_cd,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
variant_nm,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
work_close_yn,"Agora, BP/KTWS",✓,str,범주/문자형,100.0%,✅ 같은 의미
propo_seq,"Agora, BP/KTWS, Karete",✗,float64 / int64,수치형,0.5%,❌ 다른 의미 (dtype 불일치)
